ID: 129253932911296512 | Username: Trey#1337 | Badges: HypeSquad Events,Early Supporter
ID: 279219186558042113 | Username: Trimmerlist#2860 | Badges: Early Supporter
ID: 147747339002445824 | Username: Tuntematon#0001 | Badges: Early Supporter
ID: 144549781727870976 | Username: Ty4brawl#6789 | Badges: Early Supporter
ID: 115271100904112137 | Username: UndeadLex#0014 | Badges: Early Supporter
ID: 256476578609889280 | Username: Vengeance#1005 | Badges: Early Supporter
ID: 203664042642898944 | Username: Victor Markov#8564 | Badges: Early Supporter
ID: 116680248602525701 | Username: Volkenhammer#2728 | Badges: Early Supporter
ID: 156569230823653376 | Username: Volodesi#5365 | Badges: Early Supporter
ID: 110993141007425536 | Username: WhiteWolf_AU#0972 | Badges: Early Supporter
ID: 147269871179268096 | Username: Wilma#1337 | Badges: Early Supporter
ID: 96075060552400896 | Username: WinfieldUWO#1451 | Badges: Early Supporter
ID: 104719162995171328 | Username: Wubs#4835 | Badges: Early Supporter
ID: 209415891266306048 | Username: Wuffuh#3621 | Badges: Early Supporter
ID: 143279040059539457 | Username: Xander#7777 | Badges: Early Supporter
ID: 156192152974524416 | Username: Xærys#3621 | Badges: Early Supporter
ID: 99921028335009792 | Username: ZeFoxito#3621 | Badges: Early Supporter
ID: 153382066145198080 | Username: Zin#7878 | Badges: Early Supporter
ID: 311582854977159168 | Username: ||watchterra||#0101 | Badges: Early Supporter
ID: 145293239778279428 | Username: ~Kai~#0076 | Badges: Early Supporter
ID: 396071607262773248 | Username: °˖✧ Emi ✧˖°#7069 | Badges: Early Supporter
ID: 391844802209120259 | Username: ғεяαℓ ωιтcн ᗢ#0666 | Badges: Early Supporter
ID: 148300745098133504 | Username: ✨Spectra✨#1369 | Badges: Early Supporter
ID: 207150087820804098 | Username: 千ㄩ丂卄丨ㄚㄖ#2325 | Badges: Early Supporter
ID: 133658696218705930 | Username: 𝐍ⁱᵗᵒ#8787 | Badges: Early Supporter
ID: 318903506557861889 | Username: 🐺SHADOW_WOLFEN🐺🇳🇿#1083 | Badges: Early Supporter
